
Name                        Version                  Source Updated             Info
----                        -------                  ------ -------             ----
7zip                        22.01                    main   2022-08-01 00:02:19 
anki                        2.1.54                   extras 2022-07-09 20:34:00 
audacity                    3.2.1                    extras 2022-10-07 18:58:26 
azure-cli                   2.41.0                   main   2022-10-12 15:10:25 
bat                         0.22.1                   main   2022-09-11 18:57:33 
bottom                      0.6.8                    main   2022-04-24 22:29:01 
broot                       1.16.1                   main   2022-10-13 20:28:26 
cacert                      2022-10-11               main   2022-10-12 15:10:27 
caddy                       2.6.2                    main   2022-10-15 00:23:40 
clink                       1.3.50                   main   2022-10-27 23:16:35 
conemu                      22.08.07                 extras 2022-08-14 12:03:31 
czkawka                     5.0.2                    main   2022-08-31 21:17:56 
dark                        3.11.2                   main   2020-11-27 01:50:48 
delta                       0.14.0                   main   2022-09-05 19:51:52 
ditto                       3.24.238.0               extras 2022-10-05 21:11:56 
duf                         0.8.1                    main   2022-10-02 05:06:19 
dupeguru                    4.3.1                    extras 2022-07-09 20:35:17 
everything                  1.4.1.1022               extras 2022-10-15 05:02:33 
explorerplusplus            1.4.0-beta-2             extras 2022-04-24 21:12:28 
far                         30b6000                  main   2022-08-01 00:03:12 
fclones                     0.28.0                   extras 2022-09-18 20:20:41 
ffmpeg                      5.1.2                    main   2022-09-27 21:54:21 
fzf                         0.34.0                   main   2022-09-29 20:48:22 
gawk                        5.2.0                    main   2022-09-12 21:07:09 
gh                          2.18.1                   main   2022-10-20 21:28:16 
git                         2.38.1.windows.1         main   2022-10-19 20:54:16 
git-interactive-rebase-tool 2.2.1                    main   2022-10-22 22:59:34 
git-lfs                     3.2.0                    main   2022-05-28 11:28:24 
gitui                       0.21.0                   main   2022-08-18 21:50:34 
go                          1.19.2                   main   2022-10-05 21:12:58 
gsudo                       1.7.1                    main   2022-10-02 05:08:07 
heidisql                    12.1                     extras 2022-08-14 12:03:38 
hyperfine                   1.15.0                   main   2022-09-10 00:27:04 
just                        1.7.0                    main   2022-10-27 23:16:39 
kopia                                                       2022-10-03 04:28:58 Install failed
less                        608                      main   2022-09-05 19:52:16 
lessmsi                     1.10.0                   main   2021-11-26 21:04:47 
lf                          r27                      main   2022-04-24 21:06:23 
llvm                        15.0.3                   main   2022-10-20 21:29:03 
lsd                         0.23.1                   main   2022-09-18 20:20:43 
megasync                    4.7.1.0                  extras 2022-10-05 21:11:17 
mongodb                     6.1.0                    main   2022-10-12 15:11:00 
mpv                         0.34.0                   extras 2022-04-10 00:17:13 
mysql                       8.0.31                   main   2022-10-12 15:11:22 
nasm                        2.15.05                  main   2021-03-05 00:53:44 
navi                        2.20.1                   main   2022-05-19 16:12:50 
nssm                        2.24-103                 main   2022-02-22 21:28:30 
nu                          0.70.0                   main   2022-10-19 20:54:19 
nuget                       6.3.1                    main   2022-10-12 15:11:24 
nvm                         1.1.9                    main   2021-12-13 21:11:12 
openssh                     8.9.1.0p1                main   2022-10-13 22:36:23 
peazip                      8.9.0                    extras 2022-10-12 15:11:29 
postgresql                  14.5                     main   2022-08-13 14:22:08 
postman                     10.0.1                   extras 2022-10-15 00:24:00 
pyenv                       3.1.1                    main   2022-08-01 00:38:55 
qemu                        7.1.0                    main   2022-08-31 21:18:44 
ripgrep                     13.0.0                   main   2022-04-09 01:47:22 
rufus                       3.20                     extras 2022-08-06 15:39:31 
scoop-completion            0.2.4                    extras 2022-10-07 18:58:33 
sharex                      14.1.0                   extras 2022-08-01 00:38:59 
sharpkeys                   3.9.4                    extras 2022-04-05 19:34:08 
starship                    1.11.0                   main   2022-10-15 20:18:37 
sudo                        0.2020.01.26             main   2020-11-27 23:03:26 
tabby                       1.0.184                  extras 2022-10-05 21:13:51 
temurin17-jdk               17.0.5-8                 java   2022-10-27 23:16:57 
unbound                     1.17.0                   main   2022-10-13 20:28:41 
vlc                         3.0.17.4                 extras 2022-04-21 21:05:11 
wezterm                     20220905-102802-7d4b8249 extras 2022-09-06 23:10:20 
wget                        1.21.3                   main   2022-03-13 23:42:24 
which                       2.20                     main   2022-03-27 01:57:33 
windirstat                  1.1.2                    extras 2022-04-09 20:49:09 
winfetch                    2.4.1                    main   2022-05-05 20:20:15 
winscp                      5.21.5                   extras 2022-10-07 18:58:37 
wsltty                      3.6.0                    extras 2022-04-01 21:13:06 
yt-dlp                      2022.10.04               main   2022-10-05 21:13:53 
zoxide                      0.8.3                    main   2022-09-11 18:58:29 

